Date | 5/22/2019 9:38:49 AM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 184 level(s)...   
Date | 5/21/2019 9:50:39 AM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 37 level(s)...   
Date | 5/21/2019 9:50:24 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 118sec   
Date | 5/21/2019 9:50:24 PM   Msg | [ENCOUNTER] You successfully caught Skiddo!   
Date | 5/21/2019 9:50:03 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 70sec   
Date | 5/21/2019 9:50:03 AM   Msg | [ENCOUNTER] You successfully caught Chimchar!   
Date | 5/21/2019 9:48:52 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:48:38 AM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 36 level(s)...   
Date | 5/21/2019 9:48:31 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 136sec   
Date | 5/21/2019 9:48:31 AM   Msg | [ENCOUNTER] Failed to identify pokemon...   
Date | 5/21/2019 9:48:26 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:47:46 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 177 level(s)...   
Date | 5/21/2019 9:46:26 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 103sec   
Date | 5/21/2019 9:46:26 PM   Msg | [ENCOUNTER] You successfully caught Woobat!   
Date | 5/21/2019 9:46:15 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:46:14 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 140sec   
Date | 5/21/2019 9:46:14 AM   Msg | [ENCOUNTER] Failed to identify pokemon...   
Date | 5/21/2019 9:44:42 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:44:03 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 176 level(s)...   
Date | 5/21/2019 9:43:53 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:43:52 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 141sec   
Date | 5/21/2019 9:43:52 AM   Msg | [ENCOUNTER] Failed to identify pokemon...   
Date | 5/21/2019 9:43:35 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 15sec   
Date | 5/21/2019 9:43:35 PM   Msg | [ENCOUNTER] You successfully caught Geodude!   
Date | 5/21/2019 9:43:19 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:41:46 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 175 level(s)...   
Date | 5/21/2019 9:41:35 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 100sec   
Date | 5/21/2019 9:41:35 PM   Msg | [ENCOUNTER] You successfully caught Carracosta!   
Date | 5/21/2019 9:41:31 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:41:00 AM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 35 level(s)...   
Date | 5/21/2019 9:40:12 AM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 34 level(s)...   
Date | 5/21/2019 9:40:08 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 67sec   
Date | 5/21/2019 9:40:08 AM   Msg | [ENCOUNTER] You successfully caught Bagon!   
Date | 5/21/2019 9:39:55 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:39:01 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:38:58 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 103sec   
Date | 5/21/2019 9:38:58 PM   Msg | [ENCOUNTER] You successfully caught Sandile!   
Date | 5/21/2019 9:38:48 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 131sec   
Date | 5/21/2019 9:38:48 AM   Msg | [ENCOUNTER] Failed to identify pokemon...   
Date | 5/21/2019 9:37:14 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:36:36 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:36:35 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 135sec   
Date | 5/21/2019 9:36:35 AM   Msg | [ENCOUNTER] Failed to identify pokemon...   
Date | 5/21/2019 9:36:28 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 174 level(s)...   
Date | 5/21/2019 9:35:51 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 8sec   
Date | 5/21/2019 9:35:51 PM   Msg | [ENCOUNTER] You successfully caught Paras!   
Date | 5/21/2019 9:35:43 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:35:18 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 67sec   
Date | 5/21/2019 9:35:18 PM   Msg | [ENCOUNTER] You successfully caught Luvdisc!   
Date | 5/21/2019 9:34:19 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:34:18 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 138sec   
Date | 5/21/2019 9:34:18 AM   Msg | [ENCOUNTER] Failed to identify pokemon...   
Date | 5/21/2019 9:34:11 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:33:13 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 173 level(s)...   
Date | 5/21/2019 9:31:59 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:31:39 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 103sec   
Date | 5/21/2019 9:31:39 AM   Msg | [ENCOUNTER] You successfully caught Gothita!   
Date | 5/21/2019 9:31:32 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 41sec   
Date | 5/21/2019 9:31:32 PM   Msg | [ENCOUNTER] You successfully caught Shuckle!   
Date | 5/21/2019 9:30:51 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:30:38 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 172 level(s)...   
Date | 5/21/2019 9:30:23 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 89sec   
Date | 5/21/2019 9:30:23 PM   Msg | [ENCOUNTER] You successfully caught Samurott!   
Date | 5/21/2019 9:29:55 AM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 33 level(s)...   
Date | 5/21/2019 9:29:55 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:29:44 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 117sec   
Date | 5/21/2019 9:29:44 AM   Msg | [ENCOUNTER] You successfully caught Eelektross!   
Date | 5/21/2019 9:28:53 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:27:49 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 44sec   
Date | 5/21/2019 9:27:49 PM   Msg | [ENCOUNTER] You successfully caught Skarmory!   
Date | 5/21/2019 9:27:47 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:27:44 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 119sec   
Date | 5/21/2019 9:27:44 AM   Msg | [ENCOUNTER] You successfully caught Swirlix!   
Date | 5/21/2019 9:27:05 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:26:30 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 171 level(s)...   
Date | 5/21/2019 9:25:45 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:25:44 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 84sec   
Date | 5/21/2019 9:25:44 PM   Msg | [ENCOUNTER] You successfully caught Munna!   
Date | 5/21/2019 9:25:12 AM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 32 level(s)...   
Date | 5/21/2019 9:24:25 AM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 31 level(s)...   
Date | 5/21/2019 9:24:20 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:23:42 AM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 30 level(s)...   
Date | 5/21/2019 9:23:35 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 80sec   
Date | 5/21/2019 9:23:35 AM   Msg | [ENCOUNTER] You successfully caught Croagunk!   
Date | 5/21/2019 9:23:12 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 170 level(s)...   
Date | 5/21/2019 9:23:08 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 98sec   
Date | 5/21/2019 9:23:08 PM   Msg | [ENCOUNTER] You successfully caught Crustle!   
Date | 5/21/2019 9:22:15 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:21:38 AM   Msg | [LEVEL] Your Pokemon evolved! You've gained 1 evolutions & 29 level(s)...   
Date | 5/21/2019 9:21:30 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:20:47 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 124sec   
Date | 5/21/2019 9:20:47 AM   Msg | [ENCOUNTER] Failed to identify pokemon...   
Date | 5/21/2019 9:20:31 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 8sec   
Date | 5/21/2019 9:20:31 PM   Msg | [ENCOUNTER] You successfully caught Diglett!   
Date | 5/21/2019 9:20:22 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:20:16 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 56sec   
Date | 5/21/2019 9:20:16 PM   Msg | [ENCOUNTER] You successfully caught Plusle!   
Date | 5/21/2019 9:19:19 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:18:43 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:18:42 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 140sec   
Date | 5/21/2019 9:18:42 AM   Msg | [ENCOUNTER] Failed to identify pokemon...   
Date | 5/21/2019 9:18:38 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 169 level(s)...   
Date | 5/21/2019 9:18:31 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 62sec   
Date | 5/21/2019 9:18:31 PM   Msg | [ENCOUNTER] You successfully caught Kecleon!   
Date | 5/21/2019 9:17:28 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:16:32 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 95sec   
Date | 5/21/2019 9:16:32 PM   Msg | [ENCOUNTER] You successfully caught Purrloin!   
Date | 5/21/2019 9:16:21 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:16:20 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 143sec   
Date | 5/21/2019 9:16:20 AM   Msg | [ENCOUNTER] Failed to identify pokemon...   
Date | 5/21/2019 9:14:57 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:14:07 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 168 level(s)...   
Date | 5/21/2019 9:13:57 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:13:43 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 3sec   
Date | 5/21/2019 9:13:43 AM   Msg | [ENCOUNTER] You successfully caught Pidgey!   
Date | 5/21/2019 9:13:39 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:13:19 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 83sec   
Date | 5/21/2019 9:13:19 AM   Msg | [ENCOUNTER] You successfully caught Carnivine!   
Date | 5/21/2019 9:13:08 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 94sec   
Date | 5/21/2019 9:13:08 PM   Msg | [ENCOUNTER] You successfully caught Sewaddle!   
Date | 5/21/2019 9:11:55 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:11:34 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:10:44 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 167 level(s)...   
Date | 5/21/2019 9:10:32 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 112sec   
Date | 5/21/2019 9:10:32 AM   Msg | [ENCOUNTER] You successfully caught Tynamo!   
Date | 5/21/2019 9:09:39 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 55sec   
Date | 5/21/2019 9:09:39 PM   Msg | [ENCOUNTER] You successfully caught Slakoth!   
Date | 5/21/2019 9:08:44 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:08:40 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:08:00 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 166 level(s)...   
Date | 5/21/2019 9:07:49 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 121sec   
Date | 5/21/2019 9:07:49 PM   Msg | [ENCOUNTER] You successfully caught Bunnelby!   
Date | 5/21/2019 9:07:44 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 74sec   
Date | 5/21/2019 9:07:44 AM   Msg | [ENCOUNTER] You successfully caught Pachirisu!   
Date | 5/21/2019 9:06:29 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:05:47 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:04:44 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 101sec   
Date | 5/21/2019 9:04:44 PM   Msg | [ENCOUNTER] You successfully caught Minccino!   
Date | 5/21/2019 9:04:38 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 7sec   
Date | 5/21/2019 9:04:38 AM   Msg | [ENCOUNTER] You successfully caught Jigglypuff!   
Date | 5/21/2019 9:04:31 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:03:03 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:02:29 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 165 level(s)...   
Date | 5/21/2019 9:01:58 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 110sec   
Date | 5/21/2019 9:01:58 PM   Msg | [ENCOUNTER] You successfully caught Elgyem!   
Date | 5/21/2019 9:01:02 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 56sec   
Date | 5/21/2019 9:01:02 AM   Msg | [ENCOUNTER] You successfully caught Volbeat!   
Date | 5/21/2019 9:00:08 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 9:00:06 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:59:26 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 62sec   
Date | 5/21/2019 8:59:26 AM   Msg | [ENCOUNTER] You successfully caught Duskull!   
Date | 5/21/2019 8:58:57 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 164 level(s)...   
Date | 5/21/2019 8:58:23 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:58:04 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 146sec   
Date | 5/21/2019 8:58:04 PM   Msg | [ENCOUNTER] You successfully caught Pyukumuku!   
Date | 5/21/2019 8:58:03 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 57sec   
Date | 5/21/2019 8:58:03 AM   Msg | [ENCOUNTER] You successfully caught Camerupt!   
Date | 5/21/2019 8:57:06 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:56:37 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 109sec   
Date | 5/21/2019 8:56:37 AM   Msg | [ENCOUNTER] You successfully caught Litwick!   
Date | 5/21/2019 8:55:38 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:55:13 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 43sec   
Date | 5/21/2019 8:55:13 PM   Msg | [ENCOUNTER] You successfully caught Magby!   
Date | 5/21/2019 8:54:47 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:54:29 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:54:26 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 21sec   
Date | 5/21/2019 8:54:26 PM   Msg | [ENCOUNTER] You successfully caught Weezing!   
Date | 5/21/2019 8:54:04 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:54:03 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 111sec   
Date | 5/21/2019 8:54:03 AM   Msg | [ENCOUNTER] You successfully caught Tynamo!   
Date | 5/21/2019 8:53:36 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 163 level(s)...   
Date | 5/21/2019 8:52:12 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:51:55 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 162 level(s)...   
Date | 5/21/2019 8:50:44 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 122sec   
Date | 5/21/2019 8:50:44 PM   Msg | [ENCOUNTER] You successfully caught Tyrunt!   
Date | 5/21/2019 8:50:17 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 100sec   
Date | 5/21/2019 8:50:17 AM   Msg | [ENCOUNTER] You successfully caught Amoonguss!   
Date | 5/21/2019 8:48:41 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:48:37 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:48:07 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 161 level(s)...   
Date | 5/21/2019 8:47:53 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 139sec   
Date | 5/21/2019 8:47:53 AM   Msg | [ENCOUNTER] You successfully caught Crabominable!   
Date | 5/21/2019 8:47:46 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 123sec   
Date | 5/21/2019 8:47:46 PM   Msg | [ENCOUNTER] Failed to identify pokemon...   
Date | 5/21/2019 8:45:43 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:45:41 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 127sec   
Date | 5/21/2019 8:45:41 PM   Msg | [ENCOUNTER] Failed to identify pokemon...   
Date | 5/21/2019 8:45:34 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:45:30 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 14sec   
Date | 5/21/2019 8:45:30 AM   Msg | [ENCOUNTER] You successfully caught Tentacool!   
Date | 5/21/2019 8:45:16 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:43:34 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:43:33 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 131sec   
Date | 5/21/2019 8:43:33 PM   Msg | [ENCOUNTER] Failed to identify pokemon...   
Date | 5/21/2019 8:43:22 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 136sec   
Date | 5/21/2019 8:43:22 AM   Msg | [ENCOUNTER] You successfully caught Comfey!   
Date | 5/21/2019 8:41:21 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:41:05 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:40:22 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 41sec   
Date | 5/21/2019 8:40:22 PM   Msg | [ENCOUNTER] You successfully caught Corsola!   
Date | 5/21/2019 8:39:41 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:39:31 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 160 level(s)...   
Date | 5/21/2019 8:39:27 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 109sec   
Date | 5/21/2019 8:39:27 AM   Msg | [ENCOUNTER] You successfully caught Beheeyem!   
Date | 5/21/2019 8:38:53 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 105sec   
Date | 5/21/2019 8:38:53 PM   Msg | [ENCOUNTER] You successfully caught Vanillite!   
Date | 5/21/2019 8:37:37 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:37:08 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:36:32 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 90sec   
Date | 5/21/2019 8:36:32 PM   Msg | [ENCOUNTER] You successfully caught Panpour!   
Date | 5/21/2019 8:36:30 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 53sec   
Date | 5/21/2019 8:36:30 AM   Msg | [ENCOUNTER] You successfully caught Meditite!   
Date | 5/21/2019 8:35:36 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:35:01 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:34:30 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 159 level(s)...   
Date | 5/21/2019 8:34:28 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 107sec   
Date | 5/21/2019 8:34:28 AM   Msg | [ENCOUNTER] You successfully caught Joltik!   
Date | 5/21/2019 8:33:34 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 145sec   
Date | 5/21/2019 8:33:34 PM   Msg | [ENCOUNTER] You successfully caught Grubbin!   
Date | 5/21/2019 8:32:41 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:31:09 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:31:03 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 77sec   
Date | 5/21/2019 8:31:03 PM   Msg | [ENCOUNTER] You successfully caught Glameow!   
Date | 5/21/2019 8:29:45 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:29:11 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 158 level(s)...   
Date | 5/21/2019 8:28:57 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 84sec   
Date | 5/21/2019 8:28:57 PM   Msg | [ENCOUNTER] You successfully caught Munna!   
Date | 5/21/2019 8:28:32 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 32sec   
Date | 5/21/2019 8:28:32 AM   Msg | [ENCOUNTER] You successfully caught Chinchou!   
Date | 5/21/2019 8:27:59 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:27:32 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:26:58 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 114sec   
Date | 5/21/2019 8:26:58 AM   Msg | [ENCOUNTER] You successfully caught Hydreigon!   
Date | 5/21/2019 8:26:06 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 157 level(s)...   
Date | 5/21/2019 8:25:03 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:24:36 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 2sec   
Date | 5/21/2019 8:24:36 PM   Msg | [ENCOUNTER] You successfully caught Caterpie!   
Date | 5/21/2019 8:24:34 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:24:29 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 156 level(s)...   
Date | 5/21/2019 8:24:11 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 50sec   
Date | 5/21/2019 8:24:11 AM   Msg | [ENCOUNTER] You successfully caught Whismur!   
Date | 5/21/2019 8:23:52 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 71sec   
Date | 5/21/2019 8:23:52 PM   Msg | [ENCOUNTER] You successfully caught Kricketot!   
Date | 5/21/2019 8:23:21 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:22:40 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:21:58 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 1sec   
Date | 5/21/2019 8:21:58 AM   Msg | [ENCOUNTER] You successfully caught Charmeleon!   
Date | 5/21/2019 8:21:56 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:21:41 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 155 level(s)...   
Date | 5/21/2019 8:21:21 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 147sec   
Date | 5/21/2019 8:21:21 AM   Msg | [ENCOUNTER] You successfully caught Drampa!   
Date | 5/21/2019 8:19:58 PM   Msg | [LEVEL] Your Pokemon leveled up! You've gained 154 level(s)...   
Date | 5/21/2019 8:19:43 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 125sec   
Date | 5/21/2019 8:19:43 PM   Msg | [ENCOUNTER] You successfully caught Honedge!   
Date | 5/21/2019 8:18:53 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:18:39 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 62sec   
Date | 5/21/2019 8:18:39 AM   Msg | [ENCOUNTER] You successfully caught Glalie!   
Date | 5/21/2019 8:17:38 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:17:37 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:17:33 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 41sec   
Date | 5/21/2019 8:17:33 AM   Msg | [ENCOUNTER] You successfully caught Remoraid!   
Date | 5/21/2019 8:17:02 PM   Msg | [INFO] Bot started...   
Date | 5/21/2019 8:16:51 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:16:37 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 119sec   
Date | 5/21/2019 8:16:37 AM   Msg | [ENCOUNTER] You successfully caught Pangoro!   
Date | 5/21/2019 8:14:37 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:13:51 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 21sec   
Date | 5/21/2019 8:13:51 AM   Msg | [ENCOUNTER] You successfully caught Koffing!   
Date | 5/21/2019 8:13:30 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:12:07 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 31sec   
Date | 5/21/2019 8:12:07 AM   Msg | [ENCOUNTER] You successfully caught Cleffa!   
Date | 5/21/2019 8:11:36 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:11:27 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 50sec   
Date | 5/21/2019 8:11:27 AM   Msg | [ENCOUNTER] You successfully caught Taillow!   
Date | 5/21/2019 8:10:36 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:10:22 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 10sec   
Date | 5/21/2019 8:10:22 AM   Msg | [ENCOUNTER] You successfully caught Meowth!   
Date | 5/21/2019 8:10:12 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:08:14 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 148sec   
Date | 5/21/2019 8:08:14 AM   Msg | [ENCOUNTER] You successfully caught Bruxish!   
Date | 5/21/2019 8:05:45 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:05:36 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 100sec   
Date | 5/21/2019 8:05:36 AM   Msg | [ENCOUNTER] You successfully caught Scraggy!   
Date | 5/21/2019 8:04:50 PM   Msg | [INFO] Bot stopped...   
Date | 5/21/2019 8:04:49 PM   Msg | [ENCOUNTER] Finished identifying pokemon in 56sec   
Date | 5/21/2019 8:04:49 PM   Msg | [ENCOUNTER] You successfully caught Minun!   
Date | 5/21/2019 8:03:55 AM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:03:53 PM   Msg | [ENCOUNTER] Attempting identification...   
Date | 5/21/2019 8:03:52 AM   Msg | [ENCOUNTER] Finished identifying pokemon in 80sec   
